,Height,Width,Hue_mean,Sat_mean,Bright_mean
0,368,475,0.23824716955017258,0.40462996718684396,0.5713309777000046
1,347,475,0.46073732991839517,0.44647272428299134,0.20530271262152666
2,409,475,0.2733492363374178,0.8914747592263892,0.8978428899805968
3,545,375,0.21828062157181743,0.6291385122125314,0.6937113965341488
4,535,400,0.15705710897117123,0.21440043870762002,0.7114400403151917
5,495,475,0.3903783172305905,0.39943620996513374,0.6515294034253786
6,541,460,0.1752347897151661,0.1863899865019427,0.5452978365661141
7,443,600,0.0,0.0,0.2937451718083772
8,1024,878,0.34135669882873126,0.5638799412753641,0.7146632763298943
9,482,475,0.3428492872713821,0.5956861503883103,0.594521999409067
10,357,475,0.6243465950067054,0.560455553149201,0.36613013502614666
11,703,475,0.5931016781014311,0.26754825024505735,0.3699762803376946
12,533,475,0.45695706675937403,0.06224724258650255,0.8289873276060695
13,470,475,0.689594269883475,0.4919201505904533,0.8722939112487106
14,496,475,0.14221008976330293,0.1398701572431998,0.8857120410133495
15,430,425,0.4920934131041296,0.5915485955960383,0.6226158740377136
16,550,400,0.10484445784586638,0.4494791154087469,0.6219911051693404
17,393,475,0.39184112867649296,0.6945069951610916,0.5186515097802882
18,400,311,0.0,0.0,0.3144114494672467
19,357,475,0.33716965198784277,0.6522819052067406,0.46007179424917555
20,497,475,0.18669143696676263,0.7865751887349695,0.5029506824227097
21,384,475,0.17912013590179018,0.19448787033236625,0.6343083505331958
22,500,372,0.0,0.0,0.5729874130297281
23,333,475,0.14472828443514277,0.8366522849509437,0.5446000551635225
24,476,475,0.27593347345219127,0.2069629614739424,0.5378030543486745
25,507,475,0.5614704631800437,0.8334631440278528,0.5763789750510399
26,599,425,0.31471822807130667,0.729747338524869,0.5485681364365447
27,800,1200,0.13174533545575878,0.0678549191292818,0.859403982843137
28,480,475,0.1785174859638601,0.9052731008647855,0.8988876676986586
29,353,475,0.2737399486730327,0.954105945074762,0.6272168439762963
30,282,475,0.23272839739988663,0.636280314932142,0.6377296767157778
31,614,435,0.37400360667773086,0.95581886155683,0.7853932029961258
32,4692,4690,0.4833506865238249,0.8388902723892744,0.6019604013431649
33,367,475,0.14819057834176833,0.25673118966241565,0.551824488292377
34,607,432,0.13694797323139649,0.07655635176323154,0.6308006535947713
35,249,475,0.5243667802724711,0.6653228025483546,0.585448601423237
36,346,475,0.1852432316604659,0.29109596483160183,0.8609000399673102
37,533,768,0.41843674193446817,0.37979179598446833,0.7614552581116873
38,2700,3384,0.25314829353218943,0.4101047077791191,0.6794660502411273
39,831,1280,0.2412347845862902,0.2677747307802145,0.4605431974233736
40,594,425,0.3958911891872106,0.46347978152808694,0.6854719591144042
41,475,475,0.8391328654559104,0.8099285403243367,0.6927507077290751
42,384,475,0.38296515231852735,0.7406189264852546,0.6717832817337461
43,470,475,0.1843299764412728,0.7471209290006136,0.6985617811738357
44,1256,945,0.38030997996282156,0.5673816088169601,0.6487352766065144
45,473,475,0.4551074357259527,0.510596204503659,0.7255373229741436
46,311,464,0.22983086273437836,0.7361722174996336,0.5921657763892783
47,316,409,0.44307819219090294,0.35451425271042886,0.7790232610638882
48,300,435,0.3927755870244932,0.08161886588716327,0.8365700848921945
49,747,1128,0.3385960403664107,0.2994504745538819,0.5197480647105178
50,305,475,0.5643718059438118,0.44820199721281756,0.3553649021299633
51,447,475,0.3531253134249189,0.17015757226083014,0.5709948354238669
52,267,475,0.28187984858227977,0.7751325201733844,0.6957050126969772
53,474,475,0.28664634778312786,0.48585467139789423,0.7593456736903067
54,699,475,0.6970129180118187,0.37245819810251657,0.25411464704848885
55,334,475,0.7418846904209974,0.26679375738703687,0.49062071522589507
56,343,475,0.6899132168719352,0.36913555045179214,0.3055404898801625
57,352,475,0.47543037111138786,0.42657798509810013,0.30482519467116986
58,478,475,0.1927166162154356,0.6826595070415282,0.6737219667430946
59,408,443,0.4949371978928625,0.3131799171105385,0.5190440514717817
60,405,475,0.2737569667683958,0.6743211631928943,0.6070661009823032
61,367,475,0.23461289696354026,0.50772500780295,0.5620820925530688
62,325,475,0.7199699329914442,0.3873304251818751,0.3934037882035406
63,355,475,0.6932253045841621,0.44890574049204657,0.21881301763107022
64,1207,974,0.20026103564013917,0.4141892554637025,0.6285857527616927
65,368,475,0.13036377050221792,0.37413439687278205,0.8490343698119982
66,482,475,0.3376908853983156,0.6884280102547073,0.4844390889354212
67,489,475,0.3558673537829506,0.3929940267073383,0.547275782382698
68,340,475,0.7239115715292536,0.2614495783912653,0.42364917137133484
69,399,475,0.25438489668405706,0.8259837413915553,0.6656321091686906
70,1592,1280,0.30781333209907064,0.8312511209982404,0.8376057023783133
71,441,475,0.5502487565725097,0.3415220869031724,0.34711299256544725
72,349,450,0.5661791468572324,0.5539569139411551,0.539221354508056
73,345,475,0.529861097877106,0.8932075050875866,0.6470911772184081
74,803,1024,0.1540787433551808,0.8442157039937677,0.6594799650285081
75,1112,1600,0.2535114047144157,0.7246322920489062,0.7522613490090279
76,613,350,0.3199634586604533,0.41737442951094916,0.44200494422891495
77,683,850,0.1337066006007646,0.8216592829417855,0.7829276902734219
78,421,475,0.3386893176170345,0.36776303747943384,0.39466356824014753
