,Height,Width,Hue_mean,Sat_mean,Bright_mean
0,771,469,0.3787849263809803,0.718440172163517,0.735383931143745
1,666,640,0.3250483441884556,0.8228846251513493,0.8582011791202968
2,640,409,0.7818432238026063,0.49324936133897557,0.2044662975214536
3,474,520,0.1322745726672462,0.3401405620586668,0.8224565012632775
4,700,547,0.10423967177473505,0.8459012470611447,0.8443967451697314
5,1024,795,0.3379788345265595,0.3605008400072104,0.40696738384819336
6,1736,832,0.280612738959091,0.473457090651805,0.6966076027960814
7,800,515,0.09747582400270235,0.4858860636184754,0.634625395012374
8,894,800,0.7937781715416449,0.42870442384020196,0.3419785662587183
9,632,597,0.30454513345995116,0.39182935372557565,0.3511085459563891
10,600,412,0.09874563599083722,0.8798922291140256,0.7664016910971508
11,7360,4912,0.5058684735143436,0.6861746291982943,0.4895700189707135
12,600,600,0.045728909150417205,0.6358378912905179,0.6399982352941176
13,518,730,0.7820790979469491,0.1781803149101705,0.22685618045811445
14,800,620,0.32225316334894083,0.4863761605212738,0.43638930265654646
15,800,584,0.09865762121465964,0.45377381529275135,0.5849829690437819
16,800,635,0.06302007086073229,0.8770359723347098,0.8216794194843293
17,1510,1212,0.42695359463034266,0.9057350822954396,0.627708994117176
18,647,800,0.15807237432278987,0.21956067499130283,0.8822468027396432
19,800,568,0.14516367337830643,0.365618770490777,0.21382638601215137
20,1600,1371,0.044003723948331984,0.7648937152933281,0.7475281442628109
21,1280,1156,0.42823078942831344,0.2488105433483632,0.3961381475167924
22,573,425,0.08996478728289886,0.6759825609059146,0.7240895265816006
23,290,300,0.1407303075817804,0.44298832948920414,0.8357518142889341
24,800,584,0.06714785819038296,0.4990310883982603,0.7485120618452864
25,917,788,0.534491410806901,0.3126101148500437,0.28807011082807216
26,961,878,0.48330973119209086,0.5944569036809325,0.31806013609793965
27,754,800,0.24782256943396241,0.5164131673680386,0.5020321097935194
28,522,800,0.07515692723610169,0.3187398222489953,0.4797281947261662
29,800,595,0.12916645255997672,0.5863798866246182,0.7437549925852697
